Ticker
RELIANCE.NS
TCS.NS
INFY.NS
HDFCBANK.NS
ICICIBANK.NS
SBIN.NS
ITC.NS
LT.NS
HINDUNILVR.NS
BAJFINANCE.NS
ASIANPAINT.NS
MARUTI.NS
TITAN.NS
SUNPHARMA.NS
ULTRACEMCO.NS
AXISBANK.NS
KOTAKBANK.NS
BHARTIARTL.NS
WIPRO.NS
NESTLEIND.NS
POWERGRID.NS
NTPC.NS
TECHM.NS
TATAMOTORS.NS
ADANIENT.NS
ADANIPORTS.NS
ONGC.NS
COALINDIA.NS
HCLTECH.NS
JSWSTEEL.NS
TATASTEEL.NS
BAJAJFINSV.NS
DRREDDY.NS
EICHERMOT.NS
CIPLA.NS
INDUSINDBK.NS
GRASIM.NS
HEROMOTOCO.NS
DIVISLAB.NS
BRITANNIA.NS
APOLLOHOSP.NS
BPCL.NS
SHREECEM.NS
HINDALCO.NS
UPL.NS
TATACONSUM.NS
SBILIFE.NS
PIDILITIND.NS
DABUR.NS
AMBUJACEM.NS
PGHH.NS
MARICO.NS
COLPAL.NS
GODREJCP.NS
DMART.NS
PIDILITIND.NS
BERGEPAINT.NS
MCDOWELL-N.NS
TORNTPHARM.NS
LUPIN.NS
AUROPHARMA.NS
BIOCON.NS
ABBOTINDIA.NS
ALKEM.NS
ZYDUSLIFE.NS
GLAND.NS
IPCALAB.NS
ABB.NS
SIEMENS.NS
BOSCHLTD.NS
CUMMINSIND.NS
HAVELLS.NS
POLYCAB.NS
VOLTAS.NS
DIXON.NS
WHIRLPOOL.NS
TUBEINVEST.NS
MOTHERSON.NS
BALKRISIND.NS
ASHOKLEY.NS
TVSMOTOR.NS
ESCORTS.NS
EXIDEIND.NS
CANFINHOME.NS
CHOLAFIN.NS
MUTHOOTFIN.NS
PEL.NS
PERSISTENT.NS
LTIM.NS
MPHASIS.NS
COFORGE.NS
OFSS.NS
MINDTREE.NS
TATAELXSI.NS
INDIGO.NS
IRCTC.NS
CONCOR.NS
GAIL.NS
PETRONET.NS
IOC.NS
HINDPETRO.NS
